client,true_value,geo_value 
c9351,5,6
c9352,6,5
c9353,3,1
c9354,4,4
c9355,4,6
c9356,3,6
c9357,5,4
c9358,5,6
c9359,6,6
c9360,5,5
c9361,6,3
c9362,5,4
c9363,6,6
c9364,8,8
c9365,6,5
c9366,6,4
c9367,5,4
c9368,5,5
c9369,4,10
c9370,5,4
c9371,7,9
c9372,4,4
c9373,3,4
c9374,7,9
c9375,5,9
c9376,6,4
c9377,4,6
c9378,8,1
c9379,6,5
c9380,5,4
c9381,4,4
c9382,4,5
c9383,2,1
c9384,4,4
c9385,3,2
c9386,5,6
c9387,6,7
c9388,7,3
c9389,5,4
c9390,5,4
c9391,3,3
c9392,5,4
c9393,5,5
c9394,9,9
c9395,6,6
c9396,2,9
c9397,6,4
c9398,2,9
c9399,2,2
c9400,7,3
c9401,8,8
c9402,6,2
c9403,4,6
c9404,6,5
c9405,5,5
c9406,6,4
c9407,6,4
c9408,6,6
c9409,5,5
c9410,3,3
c9411,5,5
c9412,5,7
c9413,4,4
c9414,4,10
c9415,5,5
c9416,5,1
c9417,7,3
c9418,3,9
c9419,4,5
c9420,5,4
c9421,4,4
c9422,5,6
c9423,3,4
c9424,6,5
c9425,9,9
c9426,4,5
c9427,5,5
c9428,6,6
c9429,5,3
c9430,6,4
c9431,5,5
c9432,5,5
c9433,4,6
c9434,6,6
c9435,2,2
c9436,4,8
c9437,5,8
c9438,6,4
c9439,5,4
c9440,6,1
c9441,5,5
c9442,7,3
c9443,7,3
c9444,6,4
c9445,5,5
c9446,2,1
c9447,4,6
c9448,7,3
c9449,6,5
c9450,3,3
c9451,4,3
c9452,5,5
c9453,4,2
c9454,7,7
c9455,2,2
c9456,6,6
c9457,5,5
c9458,3,7
c9459,5,6
c9460,5,6
c9461,5,9
c9462,4,4
c9463,4,10
c9464,5,10
c9465,6,7
c9466,4,5
c9467,5,5
c9468,5,6
c9469,7,3
c9470,6,1
c9471,2,9
c9472,7,3
c9473,4,6
c9474,3,7
c9475,2,9
c9476,4,6
c9477,3,3
c9478,5,5
c9479,4,6
c9480,5,5
c9481,5,8
c9482,6,6
c9483,6,8
c9484,5,6
c9485,5,5
c9486,6,4
c9487,7,7
c9488,4,1
c9489,4,6
c9490,9,10
c9491,2,5
c9492,2,9
c9493,9,9
c9494,6,4
c9495,4,6
c9496,7,7
c9497,3,6
c9498,6,4
c9499,2,8
c9500,6,3
c9501,6,4
c9502,5,5
c9503,3,7
c9504,4,6
c9505,4,4
c9506,7,8
c9507,6,5
c9508,3,9
c9509,4,5
c9510,3,7
c9511,5,6
c9512,6,1
c9513,8,9
c9514,5,5
c9515,8,6
c9516,5,6
c9517,5,6
c9518,5,5
c9519,5,5
c9520,6,8
c9521,5,5
c9522,6,5
c9523,4,8
c9524,8,9
c9525,1,2
c9526,6,4
c9527,5,4
c9528,3,8
c9529,5,4
c9530,5,4
c9531,5,4
c9532,6,5
c9533,3,2
c9534,6,7
c9535,1,9
c9536,5,7
c9537,5,5
c9538,5,5
c9539,6,6
c9540,4,4
c9541,5,3
c9542,7,3
c9543,5,3
c9544,3,8
c9545,7,6
c9546,3,6
c9547,4,4
c9548,3,9
c9549,5,5
c9550,6,1
c9551,6,5
c9552,6,5
c9553,2,8
c9554,4,3
c9555,5,4
c9556,5,5
c9557,5,5
c9558,7,8
c9559,5,5
c9560,6,6
c9561,7,7
c9562,6,5
c9563,6,4
c9564,5,6
c9565,4,5
c9566,6,4
c9567,4,5
c9568,4,4
c9569,4,5
c9570,5,5
c9571,7,7
c9572,2,2
c9573,4,5
c9574,4,6
c9575,4,4
c9576,7,7
c9577,5,8
c9578,5,5
c9579,6,4
c9580,7,7
c9581,5,4
c9582,5,5
c9583,7,7
c9584,4,9
c9585,6,4
c9586,5,5
c9587,5,6
c9588,4,6
c9589,6,5
c9590,3,7
c9591,6,9
c9592,6,7
c9593,7,7
c9594,3,9
c9595,5,5
c9596,4,6
c9597,4,4
c9598,4,6
c9599,5,5
c9600,5,4
c9601,3,7
c9602,4,5
c9603,3,1
c9604,7,8
c9605,8,8
c9606,5,4
c9607,4,5
c9608,6,4
c9609,5,5
c9610,5,4
c9611,7,8
c9612,6,4
c9613,6,4
c9614,5,4
c9615,6,4
c9616,6,5
c9617,2,8
c9618,6,6
c9619,6,6
c9620,7,7
c9621,6,5
c9622,2,1
c9623,4,4
c9624,4,6
c9625,4,6
c9626,6,5
c9627,4,6
c9628,5,5
c9629,3,3
c9630,6,5
c9631,2,8
c9632,3,8
c9633,4,10
c9634,7,7
c9635,3,7
c9636,8,8
c9637,5,5
c9638,5,5
c9639,4,5
c9640,7,3
c9641,5,4
c9642,8,5
c9643,5,4
c9644,2,1
c9645,5,4
c9646,6,5
c9647,5,5
c9648,9,10
c9649,3,8
c9650,6,6
c9651,7,3
c9652,6,6
c9653,7,7
c9654,4,6
c9655,3,7
c9656,2,8
c9657,5,6
c9658,5,4
c9659,5,7
c9660,5,4
c9661,4,6
c9662,4,3
c9663,5,5
c9664,3,1
c9665,4,5
c9666,5,4
c9667,7,7
c9668,7,3
c9669,5,6
c9670,3,2
c9671,4,4
c9672,6,4
c9673,6,6
c9674,5,5
c9675,4,5
c9676,7,7
c9677,7,7
c9678,6,5
c9679,4,6
c9680,7,9
c9681,5,1
c9682,3,1
c9683,8,9
c9684,5,5
c9685,4,6
c9686,8,5
c9687,4,6
c9688,3,7
c9689,7,3
c9690,9,9
c9691,4,6
c9692,7,5
c9693,3,5
c9694,3,8
c9695,3,5
c9696,3,10
c9697,6,5
c9698,4,5
c9699,7,7
c9700,6,4
c9701,4,3
c9702,6,4
c9703,8,1
c9704,5,2
c9705,4,6
c9706,5,5
c9707,8,8
c9708,4,4
c9709,4,6
c9710,4,6
c9711,3,9
c9712,3,3
c9713,7,9
c9714,6,6
c9715,5,8
c9716,8,8
c9717,6,5
c9718,9,3
c9719,4,4
c9720,6,4
c9721,3,7
c9722,8,2
c9723,5,6
c9724,5,10
c9725,6,2
c9726,3,6
c9727,4,5
c9728,5,9
c9729,4,5
c9730,5,4
c9731,5,7
c9732,3,3
c9733,6,6
c9734,4,4
c9735,6,9
c9736,8,8
c9737,6,5
c9738,7,7
c9739,3,4
c9740,6,4
c9741,7,7
c9742,6,6
c9743,5,4
c9744,6,6
c9745,6,4
c9746,5,6
c9747,4,6
c9748,4,3
c9749,5,4
c9750,4,3
c9751,7,8
c9752,3,2
c9753,4,6
c9754,2,2
c9755,5,6
c9756,5,10
c9757,5,8
c9758,4,6
c9759,4,5
c9760,4,4
c9761,4,4
c9762,7,3
c9763,2,2
c9764,5,4
c9765,3,1
c9766,5,5
c9767,7,5
c9768,3,7
c9769,7,6
c9770,4,2
c9771,4,10
c9772,3,9
c9773,5,2
c9774,4,5
c9775,6,2
c9776,5,4
c9777,2,9
c9778,2,9
c9779,5,4
c9780,4,8
c9781,7,7
c9782,3,9
c9783,3,8
c9784,6,5
c9785,6,4
c9786,3,8
c9787,6,5
c9788,4,4
c9789,10,1
c9790,5,5
c9791,4,6
c9792,6,2
c9793,4,6
c9794,6,1
c9795,7,7
c9796,4,4
c9797,7,7
c9798,5,5
c9799,4,6
c9800,5,2
c9801,5,6
c9802,4,5
c9803,4,5
c9804,4,5
c9805,9,8
c9806,7,1
c9807,6,4
c9808,4,4
c9809,7,5
c9810,4,8
c9811,7,3
c9812,5,4
c9813,7,7
c9814,3,2
c9815,7,7
c9816,7,3
c9817,7,1
c9818,4,5
c9819,5,5
c9820,7,1
c9821,7,5
c9822,6,4
c9823,5,4
c9824,5,5
c9825,3,9
c9826,4,10
c9827,3,7
c9828,4,1
c9829,6,4
c9830,5,5
c9831,4,5
c9832,7,7
c9833,2,9
c9834,4,6
c9835,10,2
c9836,5,6
c9837,4,7
c9838,4,4
c9839,4,6
c9840,4,6
c9841,5,4
c9842,5,6
c9843,6,7
c9844,6,6
c9845,5,4
c9846,7,4
c9847,7,4
c9848,8,2
c9849,4,4
c9850,4,2
c9851,4,3
c9852,7,2
c9853,3,10
c9854,5,5
c9855,4,5
c9856,5,5
c9857,6,4
c9858,3,2
c9859,6,5
c9860,7,7
c9861,4,6
c9862,5,5
c9863,4,10
c9864,6,6
c9865,2,8
c9866,4,4
c9867,4,4
c9868,3,7
c9869,3,7
c9870,6,4
c9871,6,7
c9872,3,3
c9873,3,7
c9874,4,4
c9875,5,5
c9876,6,6
c9877,5,5
c9878,2,1
c9879,3,4
c9880,5,6
c9881,4,4
c9882,4,4
c9883,6,6
c9884,6,6
c9885,8,10
c9886,5,5
c9887,4,5
c9888,5,4
c9889,6,5
c9890,6,4
c9891,8,8
c9892,4,6
c9893,2,1
c9894,2,2
c9895,8,1
c9896,5,6
c9897,4,4
c9898,6,4
c9899,5,5
c9900,3,9
c9901,5,5
c9902,5,4
c9903,4,6
c9904,3,7
c9905,3,2
c9906,4,4
c9907,6,5
c9908,7,3
c9909,6,6
c9910,9,10
c9911,7,3
c9912,5,6
c9913,4,6
c9914,5,5
c9915,3,9
c9916,6,8
c9917,8,2
c9918,5,5
c9919,3,7
c9920,5,10
c9921,5,6
c9922,10,10
c9923,4,4
c9924,1,9
c9925,5,6
c9926,5,6
c9927,3,8
c9928,3,1
c9929,7,6
c9930,8,8
c9931,6,7
c9932,4,4
c9933,3,9
c9934,5,5
c9935,1,1
c9936,6,4
c9937,7,1
c9938,7,7
c9939,4,3
c9940,3,1
c9941,4,4
c9942,5,5
c9943,2,8
c9944,7,4
c9945,6,4
c9946,5,5
c9947,5,6
c9948,4,4
c9949,4,6
c9950,6,4
c9951,7,7
c9952,6,4
c9953,8,1
c9954,5,5
c9955,4,6
c9956,5,4
c9957,4,5
c9958,8,2
c9959,4,8
c9960,5,5
c9961,6,6
c9962,6,6
c9963,5,5
c9964,6,6
c9965,6,4
c9966,6,4
c9967,4,4
c9968,6,6
c9969,4,8
c9970,7,3
c9971,5,6
c9972,4,6
c9973,5,6
c9974,6,4
c9975,5,8
c9976,5,7
c9977,6,5
c9978,5,4
c9979,3,6
c9980,5,4
c9981,8,9
c9982,8,10
c9983,6,3
c9984,5,5
c9985,9,1
c9986,4,8
c9987,5,4
c9988,7,5
c9989,1,9
c9990,4,6
c9991,4,4
c9992,5,1
c9993,5,6
c9994,7,9
c9995,5,6
c9996,5,6
c9997,5,5
c9998,5,6
c9999,6,5
c10000,3,10
c10001,5,4
c10002,4,4
c10003,6,6
c10004,7,5
c10005,8,7
c10006,5,7
c10007,5,4
c10008,4,4
c10009,5,6
c10010,1,9
c10011,9,9
c10012,5,4
c10013,6,5
c10014,3,3
c10015,5,6
c10016,3,3
c10017,6,6
c10018,4,8
c10019,6,6
c10020,5,8
c10021,8,9
c10022,4,4
c10023,6,1
c10024,7,9
c10025,6,4
c10026,5,5
c10027,6,4
c10028,5,3
c10029,4,6
c10030,5,5
c10031,3,4
c10032,7,3
c10033,6,7
c10034,4,4
c10035,5,5
c10036,5,4
c10037,2,10
c10038,3,3
c10039,6,3
c10040,6,1
c10041,7,2
c10042,6,6
c10043,5,5
c10044,2,9
c10045,3,7
c10046,4,5
c10047,6,5
c10048,6,5
c10049,4,5
c10050,8,9
c10051,5,5
c10052,6,4
c10053,5,5
c10054,5,4
c10055,6,4
c10056,5,6
c10057,7,7
c10058,5,6
c10059,6,4
c10060,5,6
c10061,5,4
c10062,6,4
c10063,4,1
c10064,5,2
c10065,4,6
c10066,5,4
c10067,7,7
c10068,5,2
c10069,3,7
c10070,6,7
c10071,8,9
c10072,5,4
c10073,5,8
c10074,6,5
c10075,6,4
c10076,2,10
c10077,2,3
c10078,4,6
c10079,6,5
c10080,7,3
c10081,1,1
c10082,1,2
c10083,5,5
c10084,7,2
c10085,4,2
c10086,8,3
c10087,5,5
c10088,3,7
c10089,7,9
c10090,3,3
c10091,7,6
c10092,3,7
c10093,6,5
c10094,5,6
c10095,5,4
c10096,7,7
c10097,4,5
c10098,10,8
c10099,5,6
c10100,5,5
c10101,4,9
c10102,3,3
c10103,5,4
c10104,4,5
c10105,7,2
c10106,7,1
c10107,6,5
c10108,4,5
c10109,5,4
c10110,6,5
c10111,3,3
c10112,6,4
c10113,7,2
c10114,6,5
c10115,5,4
c10116,4,4
c10117,6,9
c10118,3,3
c10119,6,5
c10120,5,5
c10121,8,6
c10122,4,8
c10123,4,6
c10124,6,6
c10125,3,7
c10126,6,5
c10127,5,4
c10128,4,6
c10129,5,6
c10130,6,9
c10131,7,3
c10132,6,6
c10133,4,4
c10134,6,6
c10135,4,6
c10136,6,4
c10137,7,4
c10138,1,1
c10139,6,4
c10140,4,4
c10141,7,7
c10142,6,6
c10143,7,10
c10144,4,5
c10145,4,5
c10146,4,4
c10147,6,4
c10148,8,8
c10149,6,7
c10150,10,2
c10151,5,9
c10152,5,6
c10153,4,6
c10154,4,4
c10155,5,6
c10156,6,4
c10157,6,5
c10158,8,8
c10159,5,6
c10160,3,7
c10161,3,7
c10162,7,3
c10163,6,4
c10164,2,2
c10165,4,4
c10166,4,5
c10167,5,4
c10168,5,9
c10169,4,8
c10170,3,3
c10171,7,2
c10172,4,5
c10173,1,7
c10174,4,6
c10175,6,4
c10176,9,8
c10177,8,2
c10178,3,5
c10179,4,5
c10180,3,7
c10181,4,6
c10182,5,5
c10183,5,4
c10184,6,8
c10185,5,7
c10186,5,5
c10187,3,5
c10188,5,4
c10189,4,4
c10190,8,8
c10191,6,9
c10192,3,10
c10193,4,6
c10194,7,6
c10195,8,8
c10196,3,3
c10197,6,7
c10198,1,1
c10199,4,2
c10200,8,8
c10201,5,5
c10202,5,5
c10203,4,6
c10204,5,5
c10205,7,7
c10206,4,2
c10207,8,8
c10208,9,9
c10209,3,10
c10210,7,10
c10211,6,7
c10212,6,4
c10213,5,5
c10214,4,2
c10215,3,5
c10216,9,10
c10217,3,3
c10218,5,5
c10219,5,2
c10220,4,5
c10221,6,6
c10222,6,4
c10223,6,3
c10224,9,8
c10225,6,4
c10226,3,7
c10227,5,6
c10228,7,4
c10229,5,5
c10230,5,4
c10231,7,1
c10232,5,5
c10233,9,9
c10234,3,3
c10235,7,2
c10236,7,8
c10237,5,5
c10238,8,6
c10239,3,6
c10240,5,2
c10241,5,4
c10242,3,10
c10243,6,4
c10244,3,3
c10245,5,5
c10246,7,3
c10247,3,8
c10248,6,4
c10249,2,1
c10250,6,6
c10251,5,5
c10252,4,6
c10253,7,7
c10254,4,6
c10255,5,6
c10256,5,5
c10257,5,6
c10258,5,1
c10259,6,5
c10260,6,4
c10261,6,4
c10262,5,9
c10263,9,10
c10264,4,5
c10265,3,5
c10266,7,5
c10267,5,4
c10268,5,5
c10269,4,4
c10270,2,8
c10271,5,5
c10272,9,2
c10273,5,7
c10274,2,9
c10275,6,6
c10276,5,6
c10277,8,1
c10278,5,6
c10279,4,4
c10280,4,4
c10281,5,3
c10282,5,5
c10283,6,4
c10284,5,5
c10285,4,9
c10286,5,9
c10287,2,7
c10288,3,8
c10289,3,10
c10290,5,10
c10291,3,10
c10292,3,3
c10293,1,1
c10294,3,3
c10295,8,10
c10296,5,5
c10297,3,7
c10298,4,5
c10299,7,8
c10300,6,10
c10301,9,2
c10302,5,5
c10303,5,5
c10304,8,8
c10305,7,3
c10306,5,4
c10307,2,2
c10308,3,7
c10309,5,5
c10310,5,4
c10311,6,6
c10312,3,3
c10313,4,4
c10314,4,5
c10315,5,5
c10316,3,2
c10317,7,10
c10318,4,4
c10319,5,4
c10320,7,3
c10321,5,4
c10322,6,6
c10323,6,6
c10324,4,1
c10325,2,8
c10326,5,5
c10327,3,7
c10328,4,5
c10329,7,7
c10330,8,5
c10331,4,4
c10332,4,5
c10333,4,5
c10334,5,4
c10335,4,2
c10336,5,6
c10337,6,6
c10338,7,5
c10339,6,6
c10340,4,3
c10341,4,6
c10342,3,7
c10343,5,5
c10344,3,7
c10345,7,1
c10346,3,3
c10347,5,5
c10348,5,5
c10349,1,4
c10350,2,10
c10351,7,7
c10352,4,4
c10353,5,5
c10354,6,5
c10355,6,4
c10356,6,5
c10357,4,4
c10358,4,3
c10359,7,6
c10360,5,4
c10361,2,1
c10362,2,7
c10363,4,3
c10364,5,5
c10365,4,4
c10366,7,7
c10367,4,4
c10368,5,6
c10369,2,8
c10370,6,8
c10371,3,9
c10372,4,2
c10373,3,3
c10374,5,6
c10375,3,7
c10376,7,10
c10377,4,10
c10378,5,6
c10379,5,8
c10380,5,4
c10381,4,6
c10382,6,8
c10383,5,3
c10384,4,6
c10385,6,4
c10386,5,6
c10387,4,6
c10388,4,6
c10389,6,6
c10390,6,6
c10391,6,4
c10392,4,4
c10393,4,6
c10394,5,2
c10395,7,3
c10396,8,8
c10397,5,5
c10398,5,5
c10399,7,2
c10400,7,8
c10401,4,4
c10402,4,4
c10403,6,8
c10404,7,8
c10405,6,6
c10406,6,5
c10407,2,1
c10408,8,2
c10409,7,8
c10410,4,2
c10411,6,6
c10412,2,9
c10413,6,6
c10414,4,6
c10415,8,2
c10416,6,6
c10417,5,6
c10418,6,4
c10419,3,2
c10420,7,4
c10421,5,5
c10422,5,2
c10423,7,8
c10424,3,6
c10425,5,5
c10426,7,10
c10427,4,3
c10428,4,4
c10429,5,5
c10430,6,6
c10431,4,5
c10432,6,4
c10433,6,5
c10434,4,5
c10435,6,5
c10436,6,5
c10437,6,5
c10438,5,5
c10439,4,4
c10440,1,2
c10441,5,4
c10442,2,2
c10443,4,7
c10444,3,5
c10445,3,4
c10446,5,6
c10447,3,2
c10448,4,5
c10449,10,10
c10450,1,10
c10451,4,4
c10452,7,3
c10453,6,6
c10454,4,6
c10455,5,6
c10456,3,8
c10457,6,6
c10458,3,3
c10459,3,9
c10460,8,9
c10461,4,9
c10462,7,3
c10463,5,5
c10464,5,4
c10465,4,9
c10466,9,9
c10467,3,7
c10468,8,1
c10469,6,10
c10470,5,5
c10471,4,5
c10472,5,10
c10473,4,6
c10474,8,2
c10475,1,1
c10476,2,2
c10477,6,6
c10478,6,4
c10479,5,5
c10480,4,5
c10481,4,4
c10482,5,4
c10483,5,5
c10484,5,4
c10485,4,6
c10486,2,1
c10487,3,8
c10488,4,6
c10489,6,5
c10490,5,5
c10491,6,10
c10492,4,4
c10493,4,8
c10494,5,5
c10495,6,6
c10496,5,5
c10497,3,3
c10498,6,6
c10499,8,9
c10500,5,6
c10501,4,4
c10502,4,6
c10503,4,4
c10504,6,4
c10505,6,6
c10506,9,7
c10507,6,4
c10508,6,4
c10509,2,10
c10510,6,5
c10511,7,7
c10512,5,5
c10513,7,4
c10514,4,6
c10515,3,3
c10516,1,10
c10517,3,4
c10518,5,10
c10519,5,5
c10520,1,9
c10521,5,5
c10522,6,6
c10523,6,4
c10524,6,6
c10525,6,4
c10526,3,2
c10527,3,7
c10528,3,7
c10529,2,2
c10530,7,1
c10531,1,8
c10532,6,4
c10533,6,4
c10534,5,5
c10535,8,2
c10536,4,6
c10537,6,4
c10538,5,4
c10539,3,9
c10540,3,9
c10541,3,2
c10542,5,6
c10543,3,3
c10544,6,6
c10545,6,4
c10546,4,7
c10547,6,6
c10548,4,6
c10549,4,9
c10550,5,6
c10551,6,4
c10552,6,6
c10553,3,10
c10554,5,4
c10555,4,4
c10556,9,9
c10557,3,4
c10558,6,5
c10559,3,3
c10560,6,6
c10561,6,6
c10562,4,6
c10563,5,6
c10564,4,4
c10565,5,5
c10566,3,9
c10567,7,1
c10568,4,6
c10569,4,4
c10570,4,9
c10571,5,5
c10572,5,4
c10573,5,10
c10574,4,6
c10575,6,5
c10576,7,7
c10577,6,5
c10578,7,7
c10579,4,4
c10580,3,3
c10581,4,5
c10582,6,4
c10583,3,3
c10584,6,1
c10585,5,4
c10586,8,1
c10587,5,5
c10588,5,5
c10589,6,8
c10590,4,7
c10591,5,6
c10592,8,2
c10593,2,2
c10594,3,2
c10595,3,3
c10596,5,6
c10597,7,8
c10598,4,3
c10599,6,6
c10600,2,2
c10601,5,5
c10602,5,4
c10603,5,4
c10604,4,5
c10605,5,5
c10606,5,6
c10607,6,7
c10608,6,5
c10609,5,6
c10610,7,7
c10611,4,4
c10612,2,8
c10613,3,3
c10614,4,3
c10615,2,1
c10616,6,4
c10617,6,6
c10618,4,9
c10619,5,6
c10620,6,6
c10621,5,5
c10622,4,4
c10623,4,6
c10624,3,7
c10625,4,6
c10626,5,5
c10627,3,9
c10628,3,3
c10629,4,8
c10630,1,6
c10631,4,6
c10632,5,4
c10633,6,4
c10634,6,4
c10635,4,7
c10636,6,9
c10637,5,5
c10638,6,5
c10639,6,5
c10640,6,4
c10641,4,5
c10642,5,6
c10643,2,6
c10644,5,6
c10645,7,3
c10646,5,5
c10647,3,3
c10648,5,3
c10649,5,2
c10650,8,2
c10651,6,6
c10652,3,7
c10653,7,5
c10654,7,6
c10655,5,6
c10656,6,5
c10657,2,8
c10658,4,6
c10659,4,10
c10660,4,6
c10661,5,5
c10662,5,4
c10663,5,5
c10664,6,4
c10665,4,8
c10666,7,9
c10667,5,5
c10668,2,10
c10669,6,9
c10670,6,7
c10671,5,7
c10672,3,4
c10673,3,7
c10674,6,1
c10675,5,6
c10676,3,4
c10677,4,6
c10678,2,8
c10679,6,9
c10680,3,10
c10681,6,6
c10682,4,4
c10683,2,2
c10684,3,9
c10685,4,5
c10686,8,8
c10687,6,5
c10688,6,4
c10689,5,5
c10690,2,1
c10691,6,6
c10692,2,2
c10693,5,4
c10694,4,6
c10695,6,4
c10696,4,6
c10697,8,1
c10698,5,6
c10699,3,6
c10700,4,4
c10701,4,4
c10702,9,9
c10703,3,3
c10704,6,4
c10705,4,4
c10706,6,4
c10707,5,6
c10708,4,4
c10709,6,7
c10710,2,10
c10711,5,5
c10712,6,6
c10713,7,3
c10714,4,4
c10715,7,7
c10716,4,4
c10717,4,6
c10718,5,5
c10719,5,5
c10720,5,2
c10721,4,4
c10722,5,4
c10723,4,5
c10724,5,4
c10725,6,10
c10726,4,4
c10727,7,3
c10728,4,5
c10729,9,9
c10730,4,5
c10731,5,4
c10732,2,2
c10733,7,10
c10734,6,5
c10735,7,6
c10736,7,10
c10737,5,4
c10738,5,6
c10739,5,1
c10740,8,8
c10741,2,5
c10742,5,5
c10743,4,6
c10744,1,1
c10745,5,5
c10746,6,6
c10747,6,6
c10748,2,8
c10749,6,5
c10750,6,5
c10751,5,4
c10752,3,2
c10753,4,6
c10754,3,2
c10755,5,6
c10756,6,4
c10757,7,6
c10758,3,9
c10759,7,10
c10760,6,4
c10761,8,2
c10762,4,9
c10763,3,3
c10764,7,2
c10765,2,8
c10766,8,8
c10767,5,4
c10768,7,3
c10769,3,6
c10770,6,1
c10771,6,6
c10772,3,1
c10773,5,6
c10774,5,5
c10775,8,9
c10776,9,5
c10777,7,10
c10778,4,4
c10779,4,6
c10780,5,5
c10781,4,6
c10782,2,8
c10783,4,6
c10784,4,10
c10785,7,7
c10786,5,1
c10787,8,10
c10788,7,9
c10789,6,5
c10790,2,2
c10791,6,4
c10792,2,1
c10793,4,6
c10794,3,3
c10795,9,10
c10796,4,2
c10797,9,1
c10798,4,4
c10799,6,3
c10800,5,5
c10801,6,4
c10802,4,4
c10803,6,4
c10804,7,7
c10805,2,2
c10806,3,7
c10807,1,9
c10808,9,3
c10809,5,2
c10810,7,7
c10811,5,6
c10812,7,3
c10813,5,5
c10814,5,5
c10815,4,6
c10816,6,7
c10817,6,4
c10818,8,10
c10819,6,5
c10820,5,5
c10821,7,5
c10822,8,8
c10823,6,9
c10824,6,5
c10825,3,3
c10826,6,6
c10827,6,5
c10828,6,4
c10829,8,1
c10830,6,4
c10831,5,6
c10832,5,5
c10833,5,5
c10834,3,8
c10835,3,9
c10836,6,4
c10837,5,4
c10838,5,9
c10839,5,5
c10840,6,4
c10841,2,5
c10842,3,6
c10843,7,8
c10844,7,10
c10845,4,6
c10846,6,5
c10847,1,10
c10848,5,6
c10849,5,5
c10850,6,6
c10851,4,6
c10852,4,5
c10853,5,6
c10854,5,5
c10855,6,6
c10856,3,9
c10857,6,4
c10858,7,9
c10859,6,1
c10860,6,5
c10861,5,5
c10862,3,3
c10863,5,5
c10864,6,2
c10865,5,5
c10866,3,3
c10867,4,6
c10868,7,8
c10869,4,6
c10870,3,7
c10871,7,7
c10872,7,7
c10873,4,6
c10874,6,6
c10875,7,7
c10876,5,5
c10877,3,4
c10878,4,6
c10879,6,2
c10880,3,8
c10881,6,6
c10882,5,1
c10883,5,1
c10884,3,7
c10885,2,10
c10886,3,7
c10887,5,5
c10888,6,6
c10889,4,4
c10890,6,8
c10891,4,3
c10892,3,3
c10893,6,5
c10894,3,7
c10895,4,5
c10896,5,6
c10897,4,4
c10898,7,6
c10899,4,5
c10900,7,7
c10901,6,6
c10902,6,5
c10903,3,3
c10904,4,4
c10905,7,2
c10906,4,4
c10907,7,3
c10908,6,6
c10909,5,6
c10910,6,4
c10911,6,6
c10912,7,5
c10913,5,6
c10914,3,3
c10915,4,6
c10916,5,4
c10917,4,10
c10918,4,6
c10919,5,5
c10920,6,4
c10921,5,4
c10922,6,4
c10923,6,6
c10924,7,3
c10925,8,9
c10926,7,4
c10927,4,6
c10928,3,7
c10929,6,1
c10930,7,3
c10931,4,1
c10932,8,8
c10933,2,7
c10934,5,5
c10935,5,5
c10936,3,3
c10937,5,4
c10938,7,7
c10939,3,10
c10940,5,8
c10941,7,3
c10942,6,5
c10943,8,2
c10944,5,5
c10945,4,1
c10946,5,5
c10947,3,6
c10948,4,4
c10949,6,4
c10950,5,4
c10951,5,5
c10952,7,9
c10953,6,4
c10954,3,6
c10955,3,4
c10956,4,4
c10957,5,6
c10958,4,5
c10959,4,4
c10960,4,9
c10961,4,4
c10962,3,6
c10963,4,6
c10964,4,4
c10965,6,3
c10966,6,4
c10967,6,6
c10968,4,6
c10969,3,8
c10970,4,6
c10971,4,5
c10972,3,3
c10973,4,5
c10974,3,1
c10975,7,6
c10976,6,5
c10977,4,4
c10978,2,9
c10979,4,4
c10980,4,4
c10981,6,3
c10982,5,5
c10983,4,6
c10984,7,9
c10985,6,4
c10986,6,4
c10987,6,6
c10988,5,6
c10989,7,3
c10990,4,3
c10991,5,4
c10992,6,6
c10993,6,1
c10994,7,7
c10995,10,9
c10996,7,2
c10997,4,5
c10998,5,4
c10999,5,5
c11000,5,4
c11001,8,1
c11002,8,10
c11003,6,4
c11004,5,6
c11005,5,5
c11006,5,1
c11007,6,4
c11008,5,5
c11009,6,6
c11010,8,10
c11011,5,5
c11012,4,4
c11013,2,4
c11014,5,3
c11015,5,5
c11016,6,4
c11017,4,4
c11018,4,6
c11019,7,2
c11020,6,9
c11021,3,9
c11022,5,5
c11023,8,2
c11024,4,6
c11025,4,4
c11026,4,5
c11027,4,4
c11028,4,5
c11029,5,5
c11030,8,8
c11031,5,5
c11032,7,8
c11033,5,4
c11034,4,6
c11035,5,4
c11036,5,6
c11037,6,4
c11038,6,5
c11039,5,4
c11040,7,8
c11041,5,5
c11042,3,5
c11043,6,4
c11044,5,4
c11045,5,6
c11046,5,5
c11047,3,8
c11048,4,5
c11049,6,4
c11050,5,4
c11051,3,7
c11052,5,4
c11053,4,4
c11054,4,6
c11055,3,1
c11056,5,4
c11057,4,5
c11058,5,5
c11059,8,1
c11060,4,3
c11061,6,5
c11062,6,4
c11063,4,4
c11064,4,6
c11065,7,2
c11066,5,10
c11067,5,5
c11068,2,10
c11069,6,8
c11070,7,2
c11071,7,6
c11072,5,6
c11073,6,4
c11074,6,5
c11075,3,3
c11076,6,6
c11077,9,1
c11078,3,3
c11079,6,7
c11080,5,6
c11081,6,5
c11082,4,4
c11083,7,4
c11084,6,2
c11085,4,5
c11086,3,1
c11087,8,9
c11088,2,5
c11089,4,6
c11090,5,6
c11091,3,2
c11092,9,6
c11093,5,5
c11094,5,4
c11095,3,2
c11096,7,3
c11097,4,1
c11098,5,5
