client,true_value,mrr_value
c7994,23,48
c7995,32,29
c7996,20,69
c7997,21,67
c7998,3,3
c7999,8,8
c8000,25,55
c8001,30,57
c8002,11,11
c8003,29,99
c8004,34,34
c8005,17,22
c8006,11,60
c8007,20,28
c8008,7,20
c8009,4,24
c8010,20,40
c8011,3,89
c8012,28,19
c8013,34,80
c8014,8,12
c8015,16,72
c8016,7,7
c8017,53,53
c8018,47,70
c8019,13,13
c8020,35,35
c8021,12,89
c8022,40,100
c8023,9,34
c8024,1,51
c8025,27,27
c8026,26,80
c8027,12,19
c8028,8,15
c8029,55,47
c8030,21,17
c8031,26,26
c8032,19,41
c8033,11,34
c8034,5,5
c8035,25,31
c8036,4,1
c8037,1,42
c8038,2,69
c8039,40,40
c8040,4,56
c8041,28,4
c8042,86,49
c8043,18,22
c8044,48,75
c8045,23,14
c8046,28,28
c8047,27,91
c8048,6,64
c8049,13,92
c8050,22,6
c8051,16,43
c8052,2,75
c8053,46,56
c8054,4,9
c8055,33,24
c8056,17,68
c8057,2,54
c8058,3,11
c8059,5,49
c8060,71,59
c8061,34,29
c8062,6,6
c8063,2,30
c8064,7,81
c8065,13,40
c8066,11,55
c8067,11,50
c8068,8,30
c8069,2,81
c8070,7,50
c8071,14,24
c8072,15,53
c8073,4,61
c8074,44,91
c8075,16,43
c8076,30,6
c8077,25,39
c8078,12,41
c8079,21,72
c8080,26,28
c8081,20,80
c8082,7,7
c8083,17,17
c8084,21,31
c8085,8,93
c8086,37,100
c8087,5,85
c8088,41,2
c8089,15,15
c8090,2,2
c8091,4,4
c8092,27,49
c8093,7,41
c8094,20,76
c8095,8,75
c8096,4,4
c8097,2,13
c8098,7,7
c8099,8,8
c8100,3,3
c8101,4,16
c8102,12,44
c8103,6,30
c8104,12,33
c8105,36,31
c8106,50,50
c8107,13,15
c8108,27,27
c8109,9,1
c8110,15,22
c8111,9,86
c8112,27,43
c8113,2,13
c8114,46,37
c8115,7,7
c8116,17,17
c8117,27,30
c8118,32,10
c8119,15,77
c8120,51,42
c8121,23,88
c8122,6,72
c8123,9,22
c8124,5,39
c8125,26,81
c8126,1,80
c8127,57,57
c8128,47,82
c8129,10,31
c8130,6,5
c8131,1,1
c8132,1,13
c8133,17,91
c8134,3,92
c8135,11,19
c8136,2,67
c8137,12,74
c8138,17,34
c8139,12,17
c8140,18,60
c8141,6,62
c8142,83,83
c8143,6,6
c8144,14,100
c8145,10,98
c8146,13,84
c8147,2,73
c8148,16,36
c8149,25,72
c8150,43,72
c8151,2,95
c8152,4,91
c8153,8,91
c8154,8,71
c8155,20,9
c8156,25,6
c8157,21,4
c8158,7,7
c8159,1,51
c8160,13,61
c8161,2,2
c8162,10,98
c8163,10,54
c8164,1,38
c8165,13,34
c8166,5,31
c8167,3,51
c8168,5,76
c8169,3,3
c8170,9,80
c8171,43,43
c8172,8,73
c8173,17,7
c8174,19,5
c8175,9,53
c8176,29,73
c8177,6,60
c8178,21,25
c8179,3,3
c8180,21,95
c8181,8,99
c8182,27,55
c8183,33,37
c8184,16,16
c8185,29,19
c8186,5,50
c8187,17,87
c8188,10,96
c8189,2,2
c8190,4,22
c8191,1,52
c8192,20,72
c8193,27,78
c8194,73,73
c8195,6,6
c8196,4,28
c8197,29,70
c8198,11,11
c8199,15,13
c8200,21,11
c8201,8,59
c8202,51,94
c8203,4,4
c8204,11,4
c8205,21,1
c8206,3,97
c8207,21,52
c8208,2,98
c8209,18,47
c8210,18,35
c8211,36,10
c8212,8,5
c8213,1,21
c8214,24,47
c8215,6,23
c8216,34,94
c8217,16,16
c8218,3,6
c8219,51,15
c8220,22,53
c8221,20,97
c8222,39,51
c8223,52,95
c8224,7,7
c8225,11,65
c8226,59,6
c8227,1,97
c8228,59,52
c8229,16,21
c8230,27,88
c8231,11,91
c8232,10,51
c8233,10,60
c8234,15,97
c8235,1,31
c8236,20,87
c8237,13,10
c8238,59,60
c8239,6,92
c8240,72,57
c8241,37,31
c8242,35,32
c8243,8,8
c8244,12,70
c8245,1,32
c8246,2,2
c8247,44,52
c8248,2,27
c8249,10,70
c8250,26,29
c8251,30,83
c8252,21,81
c8253,15,15
c8254,18,26
c8255,20,54
c8256,20,13
c8257,1,60
c8258,17,1
c8259,25,15
c8260,61,8
c8261,9,27
c8262,17,64
c8263,2,2
c8264,89,29
c8265,2,63
c8266,19,19
c8267,1,15
c8268,15,48
c8269,8,70
c8270,13,87
c8271,47,93
c8272,44,16
c8273,17,45
c8274,20,27
c8275,3,91
c8276,10,7
c8277,12,72
c8278,38,36
c8279,25,41
c8280,13,99
c8281,28,97
c8282,27,42
c8283,47,75
c8284,12,34
c8285,22,100
c8286,1,79
c8287,22,54
c8288,2,39
c8289,20,48
c8290,2,6
c8291,19,30
c8292,35,20
c8293,10,10
c8294,44,31
c8295,16,24
c8296,19,30
c8297,14,75
c8298,5,76
c8299,5,5
c8300,14,55
c8301,67,67
c8302,1,1
c8303,6,53
c8304,17,27
c8305,17,72
c8306,1,21
c8307,12,14
c8308,26,92
c8309,47,47
c8310,9,49
c8311,11,80
c8312,11,55
c8313,12,77
c8314,1,36
c8315,31,60
c8316,33,35
c8317,6,60
c8318,4,9
c8319,18,66
c8320,6,40
c8321,20,79
c8322,10,14
c8323,13,99
c8324,1,95
c8325,74,71
c8326,18,82
c8327,9,57
c8328,7,49
c8329,49,99
c8330,8,60
c8331,9,99
c8332,58,78
c8333,15,49
c8334,34,44
c8335,5,78
c8336,18,18
c8337,19,4
c8338,32,97
c8339,36,17
c8340,28,88
c8341,5,83
c8342,28,53
c8343,20,68
c8344,10,43
c8345,15,47
c8346,3,69
c8347,60,95
c8348,1,46
c8349,40,81
c8350,7,76
c8351,79,2
c8352,32,32
c8353,14,16
c8354,14,14
c8355,27,27
c8356,10,58
c8357,12,74
c8358,18,57
c8359,10,30
c8360,11,61
c8361,1,15
c8362,22,45
c8363,45,43
c8364,17,17
c8365,17,17
c8366,2,38
c8367,6,87
c8368,2,12
c8369,5,22
c8370,2,2
c8371,3,47
c8372,6,84
c8373,4,13
c8374,28,28
c8375,21,69
c8376,15,41
c8377,37,27
c8378,19,78
c8379,1,20
c8380,11,94
c8381,25,59
c8382,30,94
c8383,18,99
c8384,29,46
c8385,14,35
c8386,7,20
c8387,4,16
c8388,64,75
c8389,21,40
c8390,25,75
c8391,11,11
c8392,3,57
c8393,3,35
c8394,8,94
c8395,11,54
c8396,2,11
c8397,16,67
c8398,30,3
c8399,30,30
c8400,12,97
c8401,23,61
c8402,23,23
c8403,4,64
c8404,22,86
c8405,9,71
c8406,20,51
c8407,30,30
c8408,9,79
c8409,20,30
c8410,24,24
c8411,39,39
c8412,12,33
c8413,19,54
c8414,16,14
c8415,14,79
c8416,40,38
c8417,5,44
c8418,26,78
c8419,54,54
c8420,29,71
c8421,29,29
c8422,17,93
c8423,30,71
c8424,8,53
c8425,16,66
c8426,33,90
c8427,23,10
c8428,7,7
c8429,7,6
c8430,31,80
c8431,3,29
c8432,26,41
c8433,3,3
c8434,5,7
c8435,8,60
c8436,28,28
c8437,62,62
c8438,2,89
c8439,2,53
c8440,16,24
c8441,24,29
c8442,28,5
c8443,59,50
c8444,13,24
c8445,33,58
c8446,54,40
c8447,26,54
c8448,5,25
c8449,7,68
c8450,41,77
c8451,26,65
c8452,6,28
c8453,81,81
c8454,13,41
c8455,5,27
c8456,4,62
c8457,7,7
c8458,13,69
c8459,24,72
c8460,16,94
c8461,25,25
c8462,37,58
c8463,21,17
c8464,16,74
c8465,24,24
c8466,1,8
c8467,40,40
c8468,17,28
c8469,41,7
c8470,15,51
c8471,17,83
c8472,60,33
c8473,9,5
c8474,22,22
c8475,39,39
c8476,2,51
c8477,15,23
c8478,8,58
c8479,2,57
c8480,47,81
c8481,1,72
c8482,18,54
c8483,18,71
c8484,52,70
c8485,5,50
c8486,13,33
c8487,6,8
c8488,5,96
c8489,13,62
c8490,4,42
c8491,55,5
c8492,6,1
c8493,4,35
c8494,9,38
c8495,53,57
c8496,95,26
c8497,5,70
c8498,37,37
c8499,6,88
c8500,16,16
c8501,6,27
c8502,33,73
c8503,27,92
c8504,1,87
c8505,1,31
c8506,11,84
c8507,12,49
c8508,45,22
c8509,12,29
c8510,23,56
c8511,34,34
c8512,16,16
c8513,36,85
c8514,2,14
c8515,88,5
c8516,20,99
c8517,15,23
c8518,12,53
c8519,41,46
c8520,3,82
c8521,4,4
c8522,25,25
c8523,29,92
c8524,12,42
c8525,8,57
c8526,29,8
c8527,26,69
c8528,42,60
c8529,11,92
c8530,66,71
c8531,19,34
c8532,5,79
c8533,8,35
c8534,19,19
c8535,14,14
c8536,19,16
c8537,52,33
c8538,45,3
c8539,24,23
c8540,3,60
c8541,36,89
c8542,11,87
c8543,2,20
c8544,3,3
c8545,53,53
c8546,1,79
c8547,7,72
c8548,14,83
c8549,1,20
c8550,39,63
c8551,12,88
c8552,13,8
c8553,11,3
c8554,5,5
c8555,10,83
c8556,11,9
c8557,6,46
c8558,17,100
c8559,5,54
c8560,9,9
c8561,34,78
c8562,34,34
c8563,6,46
c8564,19,76
c8565,1,39
c8566,9,82
c8567,16,16
c8568,5,62
c8569,10,59
c8570,5,57
c8571,3,75
c8572,22,85
c8573,11,57
c8574,31,63
c8575,9,3
c8576,4,59
c8577,8,97
c8578,3,74
c8579,7,100
c8580,54,54
c8581,7,100
c8582,21,100
c8583,35,35
c8584,1,84
c8585,6,91
c8586,24,24
c8587,12,53
c8588,14,2
c8589,17,89
c8590,23,36
c8591,17,42
c8592,7,97
c8593,44,42
c8594,17,77
c8595,41,61
c8596,32,13
c8597,18,33
c8598,16,22
c8599,2,87
c8600,70,14
c8601,74,53
c8602,49,63
c8603,78,95
c8604,46,46
c8605,9,12
c8606,66,30
c8607,3,39
c8608,43,19
c8609,25,41
c8610,10,64
c8611,2,8
c8612,6,47
c8613,9,86
c8614,11,76
c8615,29,29
c8616,11,98
c8617,38,76
c8618,23,54
c8619,4,16
c8620,71,62
c8621,2,38
c8622,31,15
c8623,9,95
c8624,50,70
c8625,13,13
c8626,14,8
c8627,7,89
c8628,20,20
c8629,16,47
c8630,33,95
c8631,8,44
c8632,71,10
c8633,42,42
c8634,28,94
c8635,3,77
c8636,15,3
c8637,12,48
c8638,70,17
c8639,2,80
c8640,10,11
c8641,2,2
c8642,5,69
c8643,7,55
c8644,2,78
c8645,12,6
c8646,15,83
c8647,10,10
c8648,4,61
c8649,23,71
c8650,9,36
c8651,8,41
c8652,8,59
c8653,10,74
c8654,19,34
c8655,22,25
c8656,1,88
c8657,6,46
c8658,4,82
c8659,6,6
c8660,14,14
c8661,12,7
c8662,8,71
c8663,6,60
c8664,43,6
c8665,2,9
c8666,30,95
c8667,11,70
c8668,8,75
c8669,17,50
c8670,25,25
c8671,33,74
c8672,57,20
c8673,10,10
c8674,24,71
c8675,35,16
c8676,51,54
c8677,5,5
c8678,40,86
c8679,64,90
c8680,5,53
c8681,10,33
c8682,2,65
c8683,2,2
c8684,35,93
c8685,13,85
c8686,13,9
c8687,8,9
c8688,96,71
c8689,57,53
c8690,3,77
c8691,15,48
c8692,6,23
c8693,49,91
c8694,14,97
c8695,32,32
c8696,53,69
c8697,22,32
c8698,35,65
c8699,29,9
c8700,4,4
c8701,18,24
c8702,6,44
c8703,18,84
c8704,35,35
c8705,16,47
c8706,13,14
c8707,4,59
c8708,26,21
c8709,9,25
c8710,21,21
c8711,22,22
c8712,17,18
c8713,5,18
c8714,16,30
c8715,23,83
c8716,2,68
c8717,47,19
c8718,10,1
c8719,4,1
c8720,6,77
c8721,23,81
c8722,1,20
c8723,9,84
c8724,12,12
c8725,68,41
c8726,1,98
c8727,4,57
c8728,44,9
c8729,23,23
c8730,41,85
c8731,3,48
c8732,5,81
c8733,63,92
c8734,8,21
c8735,4,80
c8736,25,52
c8737,44,100
c8738,4,44
c8739,13,43
c8740,1,9
c8741,10,10
c8742,92,93
c8743,7,69
c8744,10,11
c8745,7,7
c8746,3,18
c8747,42,15
c8748,30,93
c8749,15,47
c8750,38,93
c8751,4,11
c8752,4,28
c8753,7,7
c8754,12,35
c8755,44,44
c8756,18,20
c8757,1,1
c8758,9,9
c8759,3,3
c8760,29,15
c8761,13,99
c8762,43,43
c8763,10,46
c8764,34,43
c8765,15,73
c8766,5,5
c8767,25,5
c8768,15,15
c8769,6,55
c8770,1,81
c8771,30,30
c8772,2,67
c8773,41,71
c8774,37,12
c8775,14,14
c8776,26,77
c8777,34,34
c8778,3,3
c8779,16,45
c8780,44,48
c8781,85,17
c8782,17,89
c8783,17,72
c8784,42,42
c8785,7,7
c8786,24,24
c8787,11,89
c8788,11,76
c8789,30,30
c8790,10,20
c8791,72,15
c8792,18,18
c8793,11,11
c8794,2,93
c8795,1,35
c8796,34,40
c8797,2,25
c8798,54,18
c8799,36,18
c8800,14,97
c8801,20,15
c8802,6,100
c8803,28,25
c8804,59,25
c8805,1,30
c8806,5,5
c8807,9,44
c8808,17,3
c8809,1,38
c8810,32,32
c8811,15,80
c8812,23,23
c8813,2,33
c8814,50,58
c8815,62,34
c8816,31,24
c8817,2,83
c8818,19,15
c8819,23,33
c8820,22,85
c8821,6,30
c8822,8,3
c8823,12,45
c8824,48,93
c8825,37,37
c8826,15,32
c8827,5,92
c8828,2,85
c8829,16,78
c8830,14,94
c8831,29,29
c8832,18,71
c8833,1,53
c8834,30,31
c8835,32,32
c8836,3,97
c8837,27,45
c8838,1,63
c8839,6,45
c8840,1,83
c8841,6,78
c8842,4,7
c8843,4,4
c8844,5,75
c8845,8,30
c8846,18,68
c8847,9,70
c8848,31,48
c8849,6,6
c8850,19,3
c8851,39,98
c8852,6,63
c8853,2,30
c8854,8,54
c8855,11,64
c8856,11,47
c8857,3,50
c8858,69,52
c8859,7,89
c8860,12,7
c8861,20,76
c8862,19,61
c8863,19,27
c8864,1,1
c8865,1,48
c8866,11,59
c8867,20,14
c8868,17,90
c8869,43,33
c8870,21,90
c8871,17,64
c8872,2,2
c8873,37,10
c8874,40,40
c8875,38,38
c8876,34,10
c8877,4,4
c8878,11,17
c8879,45,24
c8880,4,76
c8881,3,42
c8882,8,1
c8883,11,32
c8884,28,86
c8885,32,1
c8886,21,71
c8887,1,39
c8888,10,1
c8889,14,68
c8890,46,51
c8891,42,10
c8892,35,35
c8893,2,55
c8894,2,74
c8895,37,31
c8896,13,52
c8897,4,4
c8898,9,9
c8899,33,84
c8900,14,7
c8901,11,98
c8902,13,12
c8903,1,36
c8904,16,16
c8905,4,65
c8906,6,12
c8907,30,73
c8908,31,34
c8909,60,8
c8910,47,99
c8911,1,85
c8912,69,94
c8913,29,3
c8914,26,75
c8915,5,62
c8916,60,29
c8917,10,100
c8918,13,11
c8919,10,53
c8920,31,8
c8921,10,98
c8922,3,79
c8923,4,86
c8924,6,23
c8925,40,86
c8926,85,91
c8927,14,48
c8928,7,30
c8929,53,62
c8930,10,14
c8931,27,27
c8932,3,3
c8933,20,69
c8934,20,61
c8935,21,46
c8936,61,14
c8937,27,41
c8938,7,55
c8939,3,84
c8940,14,38
c8941,23,87
c8942,3,80
c8943,8,18
c8944,53,96
c8945,1,88
c8946,30,94
c8947,12,12
c8948,32,61
c8949,17,60
c8950,14,70
c8951,6,1
c8952,6,7
c8953,36,36
c8954,68,85
c8955,1,41
c8956,3,7
c8957,11,82
c8958,23,39
c8959,15,29
c8960,47,44
c8961,7,7
c8962,54,47
c8963,30,75
c8964,2,15
c8965,5,85
c8966,57,77
c8967,1,72
c8968,65,20
c8969,45,36
c8970,13,37
c8971,34,70
c8972,5,97
c8973,5,46
c8974,3,49
c8975,24,81
c8976,8,68
c8977,12,4
c8978,39,39
c8979,41,78
c8980,3,65
c8981,39,15
c8982,14,14
c8983,29,43
c8984,10,34
c8985,15,42
c8986,6,86
c8987,8,35
c8988,13,33
c8989,4,91
c8990,7,47
c8991,8,26
c8992,11,10
c8993,6,70
c8994,13,99
c8995,33,37
c8996,24,87
c8997,14,80
c8998,2,3
c8999,4,83
c9000,9,9
c9001,3,3
c9002,66,14
c9003,40,42
c9004,28,61
c9005,21,15
c9006,35,35
c9007,5,76
c9008,18,80
c9009,1,44
c9010,2,79
c9011,5,95
c9012,47,14
c9013,16,74
c9014,38,98
c9015,51,4
c9016,20,71
c9017,16,38
c9018,3,79
c9019,10,37
c9020,49,9
c9021,39,99
c9022,4,4
c9023,12,6
c9024,33,53
c9025,47,21
c9026,19,30
c9027,20,66
c9028,11,5
c9029,83,28
c9030,2,76
c9031,6,47
c9032,14,17
c9033,4,35
c9034,79,66
c9035,5,10
c9036,14,14
c9037,7,43
c9038,6,61
c9039,12,40
c9040,1,56
c9041,61,78
c9042,58,58
c9043,3,80
c9044,5,5
c9045,3,80
c9046,14,84
c9047,14,52
c9048,12,12
c9049,6,83
c9050,13,75
c9051,7,74
c9052,10,96
c9053,10,36
c9054,4,37
c9055,16,85
c9056,16,59
c9057,5,5
c9058,14,3
c9059,8,94
c9060,41,21
c9061,9,9
c9062,3,47
c9063,65,3
c9064,12,57
c9065,5,92
c9066,20,47
c9067,24,6
c9068,3,3
c9069,6,48
c9070,21,63
c9071,38,1
c9072,19,26
c9073,14,48
c9074,51,6
c9075,3,31
c9076,10,10
c9077,28,46
c9078,21,94
c9079,9,76
c9080,22,43
c9081,61,4
c9082,30,81
c9083,14,13
c9084,11,11
c9085,4,91
c9086,2,48
c9087,8,32
c9088,7,19
c9089,32,89
c9090,3,74
c9091,5,5
c9092,3,57
c9093,1,8
c9094,3,39
c9095,12,83
c9096,19,52
c9097,14,32
c9098,13,69
c9099,7,91
c9100,15,8
c9101,7,30
c9102,23,84
c9103,8,71
c9104,32,22
c9105,25,49
c9106,20,66
c9107,10,54
c9108,2,89
c9109,12,30
c9110,8,87
c9111,20,34
c9112,5,46
c9113,4,56
c9114,10,49
c9115,13,32
c9116,23,23
c9117,10,72
c9118,11,52
c9119,10,21
c9120,57,69
c9121,49,86
c9122,6,66
c9123,12,13
c9124,30,11
c9125,10,2
c9126,1,78
c9127,67,3
c9128,2,12
c9129,7,33
c9130,3,4
c9131,1,5
c9132,19,86
c9133,25,25
c9134,5,44
c9135,6,81
c9136,16,12
c9137,45,45
c9138,47,47
c9139,31,54
c9140,7,91
c9141,17,28
c9142,15,21
c9143,43,87
c9144,5,62
c9145,13,9
c9146,5,79
c9147,40,58
c9148,23,37
c9149,1,1
c9150,48,93
c9151,4,100
c9152,40,52
c9153,7,31
c9154,22,22
c9155,28,34
c9156,8,83
c9157,51,26
c9158,7,20
c9159,9,93
c9160,53,95
c9161,2,85
c9162,4,57
c9163,3,84
c9164,1,10
c9165,13,100
c9166,1,31
c9167,75,96
c9168,14,30
c9169,10,50
c9170,21,71
c9171,8,99
c9172,14,46
c9173,40,44
c9174,47,47
c9175,34,84
c9176,7,84
c9177,18,18
c9178,37,99
c9179,24,63
c9180,53,79
c9181,8,53
c9182,25,46
c9183,58,53
c9184,6,31
c9185,17,1
c9186,24,32
c9187,24,11
c9188,6,23
c9189,1,14
c9190,22,58
c9191,25,53
c9192,9,56
c9193,14,25
c9194,14,1
c9195,2,31
c9196,24,16
c9197,18,40
c9198,91,91
c9199,14,97
c9200,12,1
c9201,23,5
c9202,31,99
c9203,45,45
c9204,3,34
c9205,29,52
c9206,46,46
c9207,88,13
c9208,6,59
c9209,11,39
c9210,30,66
c9211,46,31
c9212,3,50
c9213,12,93
c9214,4,85
c9215,41,72
c9216,14,5
c9217,2,72
c9218,33,36
c9219,5,62
c9220,6,45
c9221,18,24
c9222,23,73
c9223,3,15
c9224,24,97
c9225,8,45
c9226,2,2
c9227,6,76
c9228,6,76
c9229,26,93
c9230,2,2
c9231,18,28
c9232,13,67
c9233,11,24
c9234,3,88
c9235,34,32
c9236,19,12
c9237,7,100
c9238,1,1
c9239,33,85
c9240,27,78
c9241,45,41
c9242,9,9
c9243,66,66
c9244,2,24
c9245,1,68
c9246,2,78
c9247,3,8
c9248,46,22
c9249,92,86
c9250,18,35
c9251,8,8
c9252,47,75
c9253,65,65
c9254,17,40
c9255,21,13
c9256,1,54
c9257,4,34
c9258,10,1
c9259,10,98
c9260,26,65
c9261,8,52
c9262,10,84
c9263,38,68
c9264,19,19
c9265,25,39
c9266,19,11
c9267,66,42
c9268,10,30
c9269,5,5
c9270,30,83
c9271,13,20
c9272,21,26
c9273,40,40
c9274,40,37
c9275,12,51
c9276,81,81
c9277,23,72
c9278,63,51
c9279,18,74
c9280,40,40
c9281,59,59
c9282,5,64
c9283,6,70
c9284,26,21
c9285,13,78
c9286,38,28
c9287,5,61
c9288,4,89
c9289,12,12
c9290,3,61
c9291,33,45
c9292,38,88
c9293,9,28
c9294,34,94
c9295,12,53
c9296,8,76
c9297,34,58
c9298,11,69
c9299,26,12
c9300,22,92
c9301,60,35
c9302,50,71
c9303,30,34
c9304,16,16
c9305,20,20
c9306,11,11
c9307,6,1
c9308,11,5
c9309,37,62
c9310,23,70
c9311,4,6
c9312,4,4
c9313,36,21
c9314,29,96
c9315,23,23
c9316,37,83
c9317,19,26
c9318,58,38
c9319,74,35
c9320,19,97
c9321,4,31
c9322,15,15
c9323,15,15
c9324,12,100
c9325,17,55
c9326,40,44
c9327,21,21
c9328,13,96
c9329,7,34
c9330,8,27
c9331,7,7
c9332,7,22
c9333,4,91
c9334,29,26
c9335,11,39
c9336,6,66
c9337,40,40
c9338,19,55
c9339,3,47
c9340,8,4
c9341,1,91
c9342,20,68
c9343,13,86
c9344,15,78
c9345,7,99
c9346,28,28
c9347,90,90
c9348,71,75
c9349,11,92
c9350,7,24
c9351,15,90
c9352,6,51
c9353,17,44
c9354,8,29
c9355,2,20
c9356,8,3
c9357,1,70
c9358,6,25
c9359,42,59
c9360,19,79
c9361,13,97
c9362,16,43
c9363,2,18
c9364,22,22
c9365,60,37
c9366,2,14
c9367,32,50
c9368,6,6
c9369,99,99
c9370,38,99
c9371,41,13
c9372,30,48
c9373,11,13
c9374,28,28
c9375,7,81
c9376,19,75
c9377,38,83
c9378,6,6
c9379,6,34
c9380,1,54
c9381,12,66
c9382,21,21
c9383,4,51
c9384,4,73
c9385,2,26
c9386,46,53
c9387,36,36
c9388,7,3
c9389,24,69
c9390,1,50
c9391,27,84
c9392,6,17
c9393,10,48
c9394,19,26
c9395,30,43
c9396,12,73
c9397,61,61
c9398,51,61
c9399,6,7
c9400,40,74
c9401,11,11
c9402,2,2
c9403,8,12
c9404,31,38
c9405,12,12
c9406,35,9
c9407,5,60
c9408,2,50
c9409,14,68
c9410,8,79
c9411,17,73
c9412,9,9
c9413,15,57
c9414,7,83
c9415,33,62
c9416,28,35
c9417,35,92
c9418,14,14
c9419,6,28
c9420,14,65
c9421,19,4
c9422,16,86
c9423,11,11
c9424,10,14
c9425,54,54
c9426,47,79
c9427,62,79
c9428,6,34
c9429,7,7
c9430,12,82
c9431,9,69
c9432,14,81
c9433,41,41
c9434,12,84
c9435,18,18
c9436,40,35
c9437,19,19
c9438,39,32
c9439,2,2
c9440,21,93
c9441,38,27
c9442,1,99
c9443,18,18
c9444,16,52
c9445,65,79
c9446,24,27
c9447,23,71
c9448,19,85
c9449,83,83
c9450,38,100
c9451,9,6
c9452,28,57
c9453,3,61
c9454,19,19
c9455,37,73
c9456,6,96
c9457,25,4
c9458,11,20
c9459,1,20
c9460,24,22
c9461,4,96
c9462,9,27
c9463,1,56
c9464,6,6
c9465,33,33
c9466,8,30
c9467,19,90
c9468,5,38
c9469,5,30
c9470,32,32
c9471,74,39
c9472,2,54
c9473,3,45
c9474,36,57
c9475,6,99
c9476,7,17
c9477,5,79
c9478,4,74
c9479,32,49
c9480,91,91
c9481,23,23
c9482,38,80
c9483,13,16
c9484,18,90
c9485,29,10
c9486,14,70
c9487,1,60
c9488,4,10
c9489,9,34
c9490,16,68
c9491,5,36
c9492,38,46
c9493,15,6
c9494,14,94
c9495,37,10
c9496,78,78
c9497,2,26
c9498,8,8
c9499,9,69
c9500,3,72
c9501,13,67
c9502,56,25
c9503,39,80
c9504,4,11
c9505,29,57
c9506,10,32
c9507,21,16
c9508,9,48
c9509,30,73
c9510,19,82
c9511,24,78
c9512,2,26
c9513,13,99
c9514,7,26
c9515,13,85
c9516,11,94
c9517,13,31
c9518,9,65
c9519,64,64
c9520,3,3
c9521,5,18
c9522,24,67
c9523,17,11
c9524,3,82
c9525,42,77
c9526,19,51
c9527,9,29
c9528,8,35
c9529,5,49
c9530,58,69
c9531,9,9
c9532,19,19
c9533,3,33
c9534,42,33
c9535,50,49
c9536,28,90
c9537,14,31
c9538,8,8
c9539,10,10
c9540,13,50
c9541,63,7
c9542,13,9
c9543,34,98
c9544,11,91
c9545,17,46
c9546,70,47
c9547,25,25
c9548,49,9
c9549,17,12
c9550,23,23
c9551,7,82
c9552,2,59
c9553,11,11
c9554,13,56
c9555,11,35
c9556,42,52
c9557,12,12
c9558,24,35
c9559,5,34
c9560,6,69
c9561,84,47
c9562,2,64
c9563,1,1
c9564,7,54
c9565,49,18
c9566,31,32
c9567,59,59
c9568,25,83
c9569,42,42
c9570,45,100
c9571,26,74
c9572,3,3
c9573,20,61
c9574,33,68
c9575,9,31
c9576,1,69
c9577,53,56
c9578,49,60
c9579,5,29
c9580,50,60
c9581,7,78
c9582,38,38
c9583,30,88
c9584,3,13
c9585,1,84
c9586,50,89
c9587,1,3
c9588,6,52
c9589,54,54
c9590,41,47
c9591,15,15
c9592,13,13
c9593,32,25
c9594,48,72
c9595,20,85
c9596,84,65
c9597,27,45
c9598,64,98
c9599,21,21
c9600,52,72
c9601,3,48
c9602,18,7
c9603,9,31
c9604,39,39
c9605,17,80
c9606,12,83
c9607,15,11
c9608,24,50
c9609,5,55
c9610,8,8
c9611,2,3
c9612,11,55
c9613,8,59
c9614,42,42
c9615,54,63
c9616,53,94
c9617,26,100
c9618,52,4
c9619,25,25
c9620,15,98
c9621,9,40
c9622,50,2
c9623,11,78
c9624,21,35
c9625,12,51
c9626,3,11
c9627,3,26
c9628,3,89
c9629,10,94
c9630,16,3
c9631,22,71
c9632,13,15
c9633,28,28
c9634,21,57
c9635,4,65
c9636,19,50
c9637,34,66
c9638,17,84
c9639,44,60
c9640,7,44
c9641,9,46
c9642,27,31
c9643,4,38
c9644,23,98
c9645,23,74
c9646,1,16
c9647,8,79
c9648,14,8
c9649,2,62
c9650,5,45
c9651,23,64
c9652,4,49
c9653,40,72
c9654,12,57
c9655,6,90
c9656,15,78
c9657,8,61
c9658,26,15
c9659,5,16
c9660,3,5
c9661,24,16
c9662,33,33
c9663,6,64
c9664,44,37
c9665,1,71
c9666,58,12
c9667,15,8
c9668,6,54
c9669,88,50
c9670,30,33
c9671,61,29
c9672,20,28
c9673,13,70
c9674,26,14
c9675,6,57
c9676,36,33
c9677,57,44
c9678,92,89
c9679,24,23
c9680,71,73
c9681,4,31
c9682,34,34
c9683,1,13
c9684,14,14
c9685,32,77
c9686,6,53
c9687,11,19
c9688,82,11
c9689,49,52
c9690,2,86
c9691,34,53
c9692,26,21
c9693,23,26
c9694,16,8
c9695,35,7
c9696,10,10
c9697,5,16
c9698,25,75
c9699,48,48
c9700,12,10
c9701,28,84
c9702,10,33
c9703,13,26
c9704,20,20
c9705,4,50
c9706,46,70
c9707,4,75
c9708,24,86
c9709,1,51
c9710,27,39
c9711,13,13
c9712,10,94
c9713,20,79
c9714,5,44
c9715,6,67
c9716,9,40
c9717,8,68
c9718,66,2
c9719,10,67
c9720,5,70
c9721,17,13
c9722,32,86
c9723,1,1
c9724,23,83
c9725,15,5
c9726,1,66
c9727,25,27
c9728,7,7
c9729,36,44
c9730,29,6
c9731,24,22
c9732,3,32
c9733,18,27
c9734,6,13
c9735,15,9
c9736,21,89
c9737,29,84
c9738,20,44
c9739,11,31
c9740,75,38
c9741,20,19
